libelle_region,code_region,date,indicateur,valeur
Bretagne,53,01/01/2001,Production d'électricité par incinérations de déchets (Mwh),163214.0
Bretagne,53,01/01/2002,Production d'électricité par incinérations de déchets (Mwh),149215.0
Bretagne,53,01/01/2003,Production d'électricité par incinérations de déchets (Mwh),149874.0
Bretagne,53,01/01/2004,Production d'électricité par incinérations de déchets (Mwh),100377.0
Bretagne,53,01/01/2005,Production d'électricité par incinérations de déchets (Mwh),126791.0
Bretagne,53,01/01/2006,Production d'électricité par incinérations de déchets (Mwh),49686.0
Bretagne,53,01/01/2007,Production d'électricité par incinérations de déchets (Mwh),151734.0
Bretagne,53,01/01/2008,Production d'électricité par incinérations de déchets (Mwh),88726.0
Bretagne,53,01/01/2009,Production d'électricité par incinérations de déchets (Mwh),71600.0
Bretagne,53,01/01/2010,Production d'électricité par incinérations de déchets (Mwh),150839.0
Bretagne,53,01/01/2011,Production d'électricité par incinérations de déchets (Mwh),84741.0
Bretagne,53,01/01/2012,Production d'électricité par incinérations de déchets (Mwh),172075.0
Bretagne,53,01/01/2013,Production d'électricité par incinérations de déchets (Mwh),162717.0
Bretagne,53,01/01/2014,Production d'électricité par incinérations de déchets (Mwh),167202.0
Bretagne,53,01/01/2015,Production d'électricité par incinérations de déchets (Mwh),184001.0
Bretagne,53,01/01/2016,Production d'électricité par incinérations de déchets (Mwh),171385.0
Bretagne,53,01/01/2017,Production d'électricité par incinérations de déchets (Mwh),164019.0
Bretagne,53,01/01/2018,Production d'électricité par incinérations de déchets (Mwh),152476.0
Bretagne,53,01/01/2019,Production d'électricité par incinérations de déchets (Mwh),166404.0
Bretagne,53,01/01/2020,Production d'électricité par incinérations de déchets (Mwh),161939.0
Bretagne,53,01/01/2021,Production d'électricité par incinérations de déchets (Mwh),147489.0
Bretagne,53,01/01/2022,Production d'électricité par incinérations de déchets (Mwh),149476.0
Bretagne,53,01/01/2023,Production d'électricité par incinérations de déchets (Mwh),102320.0
Bretagne,53,01/01/2024,Production d'électricité par incinérations de déchets (Mwh),131239.0
Bretagne,53,01/01/2000,Production d'électricité fossile (Mwh),107306.0
Bretagne,53,01/01/2001,Production d'électricité fossile (Mwh),107306.0
Bretagne,53,01/01/2002,Production d'électricité fossile (Mwh),107306.0
Bretagne,53,01/01/2003,Production d'électricité fossile (Mwh),107306.0
Bretagne,53,01/01/2004,Production d'électricité fossile (Mwh),116815.0
Bretagne,53,01/01/2005,Production d'électricité fossile (Mwh),127236.0
Bretagne,53,01/01/2006,Production d'électricité fossile (Mwh),152086.0
Bretagne,53,01/01/2007,Production d'électricité fossile (Mwh),152086.0
Bretagne,53,01/01/2008,Production d'électricité fossile (Mwh),152086.0
Bretagne,53,01/01/2009,Production d'électricité fossile (Mwh),152086.0
Bretagne,53,01/01/2010,Production d'électricité fossile (Mwh),165871.0
Bretagne,53,01/01/2011,Production d'électricité fossile (Mwh),310505.0
Bretagne,53,01/01/2012,Production d'électricité fossile (Mwh),292139.0
Bretagne,53,01/01/2013,Production d'électricité fossile (Mwh),308670.0
Bretagne,53,01/01/2014,Production d'électricité fossile (Mwh),348948.0
Bretagne,53,01/01/2015,Production d'électricité fossile (Mwh),454232.0
Bretagne,53,01/01/2016,Production d'électricité fossile (Mwh),603301.0
Bretagne,53,01/01/2017,Production d'électricité fossile (Mwh),698949.0
Bretagne,53,01/01/2018,Production d'électricité fossile (Mwh),779175.0
Bretagne,53,01/01/2019,Production d'électricité fossile (Mwh),872049.0
Bretagne,53,01/01/2020,Production d'électricité fossile (Mwh),901190.0
