libelle_commune,code_commune,date,indicateur,valeur
Bruz,35047,01/01/2022,Points de recharge pour véhicules électriques,2.0
Bruz,35047,01/01/2023,Points de recharge pour véhicules électriques,9.0
Bruz,35047,01/01/2024,Points de recharge pour véhicules électriques,9.0
Bruz,35047,01/01/2025,Points de recharge pour véhicules électriques,11.0
Bréal-sous-Montfort,35037,01/01/2022,Points de recharge pour véhicules électriques,2.0
Bréal-sous-Montfort,35037,01/01/2023,Points de recharge pour véhicules électriques,2.0
Bréal-sous-Montfort,35037,01/01/2024,Points de recharge pour véhicules électriques,0.0
Bréal-sous-Montfort,35037,01/01/2025,Points de recharge pour véhicules électriques,2.0
Bréal-sous-Vitré,35038,01/01/2022,Points de recharge pour véhicules électriques,0.0
Bréal-sous-Vitré,35038,01/01/2023,Points de recharge pour véhicules électriques,0.0
Bréal-sous-Vitré,35038,01/01/2024,Points de recharge pour véhicules électriques,0.0
Bréal-sous-Vitré,35038,01/01/2025,Points de recharge pour véhicules électriques,0.0
Brécé,35039,01/01/2022,Points de recharge pour véhicules électriques,0.0
Brécé,35039,01/01/2023,Points de recharge pour véhicules électriques,0.0
Brécé,35039,01/01/2024,Points de recharge pour véhicules électriques,0.0
Brécé,35039,01/01/2025,Points de recharge pour véhicules électriques,0.0
Bréhan,56024,01/01/2022,Points de recharge pour véhicules électriques,0.0
Bréhan,56024,01/01/2023,Points de recharge pour véhicules électriques,4.0
Bréhan,56024,01/01/2024,Points de recharge pour véhicules électriques,4.0
Bréhan,56024,01/01/2025,Points de recharge pour véhicules électriques,4.0
Bréhand,22015,01/01/2022,Points de recharge pour véhicules électriques,0.0
Bréhand,22015,01/01/2023,Points de recharge pour véhicules électriques,0.0
Bréhand,22015,01/01/2024,Points de recharge pour véhicules électriques,2.0
Bréhand,22015,01/01/2025,Points de recharge pour véhicules électriques,2.0
Brélidy,22018,01/01/2022,Points de recharge pour véhicules électriques,0.0
Brélidy,22018,01/01/2023,Points de recharge pour véhicules électriques,0.0
Brélidy,22018,01/01/2024,Points de recharge pour véhicules électriques,0.0
Brélidy,22018,01/01/2025,Points de recharge pour véhicules électriques,0.0
Brélès,29017,01/01/2022,Points de recharge pour véhicules électriques,0.0
Brélès,29017,01/01/2023,Points de recharge pour véhicules électriques,0.0
Brélès,29017,01/01/2024,Points de recharge pour véhicules électriques,0.0
Brélès,29017,01/01/2025,Points de recharge pour véhicules électriques,0.0
Bubry,56026,01/01/2022,Points de recharge pour véhicules électriques,0.0
Bubry,56026,01/01/2023,Points de recharge pour véhicules électriques,4.0
Bubry,56026,01/01/2024,Points de recharge pour véhicules électriques,4.0
Bubry,56026,01/01/2025,Points de recharge pour véhicules électriques,4.0
Bulat-Pestivien,22023,01/01/2022,Points de recharge pour véhicules électriques,0.0
Bulat-Pestivien,22023,01/01/2023,Points de recharge pour véhicules électriques,0.0
Bulat-Pestivien,22023,01/01/2024,Points de recharge pour véhicules électriques,0.0
Bulat-Pestivien,22023,01/01/2025,Points de recharge pour véhicules électriques,0.0
Buléon,56027,01/01/2022,Points de recharge pour véhicules électriques,0.0
Buléon,56027,01/01/2023,Points de recharge pour véhicules électriques,0.0
